experiment_id,kp,ki,kd,overshoot,rise_time,settling_time,angle_values,set_point
4,12.921473556594723,0.12928332003038556,0.8801657920615373,19.066666666666663,500,2900,"[-0.31, 8.61, 23.21, 35.42, 50.46, 66.83, 80.29, 94.38, 107.05, 106.67, 94.0, 80.93, 79.59, 91.81, 105.47, 107.16, 95.54, 82.13, 79.08, 89.36, 101.93, 105.93, 98.4, 87.39, 82.21, 85.91, 95.09, 101.7, 100.96, 94.33, 87.96, 86.4, 89.01, 92.18, 93.07, 93.07, 93.07, 93.07, 93.07, 93.08, 93.08, 93.08, 93.08, 93.08, 93.09, 93.09, 93.09, 93.09, 93.1, 93.1]",90
8,13.007670243320057,0.14785379628660678,0.7600225032220681,19.05555555555556,500,3000,"[-0.15, 7.94, 22.3, 35.4, 52.47, 70.09, 83.89, 96.73, 107.15, 104.87, 92.84, 82.62, 82.77, 93.0, 104.12, 105.12, 95.21, 83.88, 81.87, 90.98, 102.11, 104.75, 96.9, 87.1, 83.52, 87.28, 95.31, 100.63, 100.0, 94.74, 90.36, 89.61, 89.99, 90.4, 90.42, 90.41, 90.4, 90.4, 90.39, 90.38, 90.37, 90.36, 90.36, 90.35, 90.35, 90.34, 90.33, 90.32, 90.32, 90.31]",90
12,13.094765020951812,0.08307973218676257,0.9508763758778409,17.1,500,2300,"[-0.25, 10.17, 27.22, 40.78, 54.07, 70.95, 88.34, 101.92, 105.39, 96.43, 84.26, 79.62, 86.86, 97.9, 102.64, 98.55, 89.27, 82.79, 84.12, 91.47, 97.86, 99.15, 94.96, 89.78, 88.06, 88.11, 88.49, 88.5, 88.75, 88.75, 88.76, 88.76, 88.76, 88.76, 88.76, 88.76, 88.76, 88.76, 88.76, 88.76, 88.76, 88.76, 88.76, 88.76, 88.76, 88.76, 88.76, 88.76, 88.76, 88.76]",90
