experiment_id,kp,ki,kd,overshoot,rise_time,settling_time,angle_values,set_point
1,2.0580182726032596,0.10999999940395355,0.692000013589859,23.48888888888889,400,5000,"[0.05, 10.55, 31.24, 51.04, 68.74, 84.31, 96.52, 105.02, 109.65, 111.01, 111.05, 111.06, 111.07, 111.07, 111.08, 111.09, 111.09, 111.1, 111.11, 111.11, 111.12, 111.13, 111.14, 110.71, 110.03, 109.63, 109.46, 109.47, 109.43, 109.38, 109.39, 109.4, 109.41, 109.41, 109.42, 109.34, 108.52, 107.09, 105.19, 103.05, 100.96, 99.15, 98.0, 97.21, 96.84, 96.83, 96.84, 96.84, 96.85, 96.86]",90
2,9.517405481780976,0.07812845296651905,0.26720000028610225,29.188888888888886,600,5000,"[-0.18, 2.77, 9.86, 15.15, 25.29, 41.84, 60.55, 79.68, 96.47, 111.36, 116.27, 111.28, 102.74, 93.87, 86.66, 82.95, 85.34, 91.16, 95.8, 97.26, 97.25, 97.25, 97.25, 97.25, 97.24, 97.24, 97.24, 97.23, 97.23, 97.23, 97.22, 97.22, 97.22, 97.21, 97.21, 97.2, 97.2, 97.2, 96.89, 96.65, 96.65, 96.64, 96.64, 96.63, 96.63, 96.63, 96.63, 96.62, 96.62, 96.62]",90
3,18.793037807287607,0.44999998807907104,0.36032000017166144,27.22222222222222,500,3900,"[0.16, 7.66, 21.85, 35.26, 49.18, 63.84, 79.51, 95.16, 108.77, 114.5, 111.67, 109.2, 104.49, 95.91, 88.72, 89.42, 98.68, 107.06, 106.62, 99.41, 90.72, 87.37, 93.87, 102.42, 105.15, 100.21, 92.51, 86.9, 89.07, 97.15, 102.46, 101.58, 95.54, 89.46, 87.07, 90.73, 97.32, 100.7, 99.08, 94.2, 89.83, 88.26, 89.88, 92.8, 93.9, 93.9, 93.91, 93.91, 93.91, 93.92]",90
4,18.793037807287607,0.501337946503477,0.070639991402626,22.62222222222222,500,3900,"[0.1, 5.68, 19.44, 34.77, 52.07, 69.08, 83.57, 94.67, 104.29, 110.36, 107.12, 99.4, 92.25, 91.21, 98.34, 106.35, 107.75, 102.52, 95.52, 90.16, 90.76, 98.63, 105.63, 105.88, 100.17, 93.05, 88.38, 89.85, 97.08, 102.65, 102.53, 97.36, 91.51, 88.55, 90.88, 96.31, 100.3, 99.59, 95.34, 91.18, 89.26, 89.23, 90.26, 91.56, 92.63, 92.78, 92.78, 92.77, 92.76, 92.75]",90
5,15.08,0.12946641139092496,0.1678399899005889,29.033333333333328,600,3700,"[-0.13, 2.08, 7.78, 20.53, 37.82, 52.1, 65.48, 80.81, 99.13, 112.61, 115.89, 116.13, 114.13, 111.56, 109.82, 103.1, 91.72, 82.5, 82.23, 92.23, 102.95, 105.3, 97.64, 88.71, 83.61, 85.87, 94.31, 101.6, 102.08, 95.87, 88.57, 85.25, 87.12, 91.85, 95.01, 95.33, 95.02, 94.49, 94.4, 94.39, 94.39, 94.39, 94.39, 94.39, 94.38, 94.38, 94.38, 94.38, 94.38, 94.38]",90
6,18.8,0.14858933925338563,0.4227199978828429,22.57777777777777,500,5000,"[-0.18, 6.15, 18.4, 28.95, 42.22, 59.27, 77.06, 92.89, 104.97, 105.1, 94.09, 80.69, 82.14, 97.15, 108.2, 110.32, 110.0, 108.49, 107.32, 107.07, 107.06, 107.06, 107.06, 107.05, 107.05, 107.05, 107.04, 107.04, 107.03, 107.03, 107.03, 107.02, 107.02, 107.02, 107.01, 107.01, 107.01, 107.0, 106.97, 106.83, 106.82, 106.82, 106.63, 105.97, 105.19, 104.64, 104.52, 104.52, 104.51, 104.5]",90
7,9.517405481780976,0.07812845296651905,0.32551999938488,26.377777777777773,600,1600,"[0.23, 2.82, 9.38, 14.77, 26.22, 43.28, 61.41, 79.82, 95.93, 109.78, 113.74, 107.01, 97.29, 88.7, 84.52, 85.23, 89.35, 93.12, 94.13, 94.13, 94.13, 94.13, 94.14, 94.14, 94.15, 94.15, 94.16, 94.16, 94.17, 94.17, 94.18, 94.18, 94.18, 94.19, 94.19, 94.2, 94.21, 94.21, 94.21, 94.22, 94.22, 94.23, 94.23, 94.24, 94.24, 94.25, 94.25, 94.26, 94.26, 94.27]",90
