experiment_id,kp,ki,kd,overshoot,rise_time,settling_time,angle_values,set_point
2,25.0,1.0,1.0,51.02222222222221,900,4900,"[0.16, 2.16, 6.36, 8.22, 8.81, 13.31, 22.09, 34.4, 51.09, 67.77, 83.91, 100.0, 114.9, 129.17, 135.92, 135.81, 134.01, 130.67, 127.15, 125.11, 121.11, 112.56, 102.99, 94.4, 96.78, 110.36, 116.2, 110.35, 103.62, 97.35, 92.68, 96.54, 105.43, 107.02, 102.66, 97.9, 92.62, 91.93, 98.59, 104.41, 102.1, 94.19, 86.71, 89.03, 100.8, 106.97, 105.11, 102.57, 96.7, 88.22]",90
4,2.7957698659204917,0.9825357921161572,0.7284223556110367,97.09999999999998,500,5000,"[0.13, 4.12, 15.26, 30.96, 49.52, 69.29, 88.35, 106.27, 121.21, 136.17, 153.8, 169.45, 177.39, 175.36, 170.3, 165.73, 160.09, 152.59, 143.31, 134.37, 127.63, 122.38, 118.15, 114.41, 110.69, 106.47, 101.81, 96.84, 91.72, 86.71, 82.12, 78.38, 75.79, 69.85, 59.95, 50.37, 41.4, 33.66, 26.19, 17.65, 10.34, 6.64, 12.87, 27.67, 46.87, 67.54, 88.22, 107.5, 124.4, 136.84]",90
6,19.99068607268686,0.390733952950462,0.6297214763199571,37.42222222222223,900,5000,"[0.12, 1.06, 1.91, 2.29, 4.29, 8.02, 11.12, 23.09, 41.6, 58.92, 76.9, 92.83, 110.39, 123.17, 123.68, 119.91, 114.52, 107.33, 99.0, 93.53, 97.43, 108.29, 112.87, 108.08, 99.75, 92.73, 94.42, 104.83, 112.09, 113.62, 114.03, 113.94, 113.11, 112.38, 111.77, 111.62, 111.61, 111.6, 111.44, 111.46, 111.25, 110.01, 108.04, 106.21, 105.58, 101.84, 93.46, 85.39, 84.81, 94.76]",90
8,13.219445424459305,0.07158571474920417,0.9191145426754372,45.8888888888889,500,2300,"[0.24, 10.06, 26.69, 40.07, 53.79, 71.13, 91.9, 111.94, 127.17, 131.3, 126.2, 119.68, 111.35, 103.98, 97.11, 89.8, 84.01, 82.28, 86.89, 93.32, 96.89, 96.99, 95.2, 93.17, 91.7, 91.34, 91.33, 91.34, 91.33, 91.33, 91.33, 91.33, 91.32, 91.32, 91.32, 91.31, 91.31, 91.31, 91.31, 91.31, 91.3, 91.3, 91.3, 91.3, 91.3, 91.3, 91.3, 91.3, 91.29, 91.29]",90
10,11.622636017971246,0.09843539440388671,0.035226864780151246,59.43333333333334,3800,5000,"[0.15, 0.15, 0.16, 0.16, 0.16, 0.16, 1.32, 3.22, 4.76, 5.24, 5.23, 5.23, 5.23, 5.24, 5.24, 5.45, 7.3, 11.17, 14.49, 15.54, 15.53, 15.54, 15.53, 15.53, 15.53, 15.52, 15.52, 15.52, 15.52, 15.52, 15.53, 15.56, 17.04, 20.91, 24.89, 26.75, 37.65, 55.98, 73.87, 93.63, 115.94, 136.94, 143.49, 137.28, 131.06, 124.06, 115.39, 107.56, 103.56, 106.79]",90
12,10.05886520021817,0.8144340616921045,0.8967958041893231,70.76666666666667,800,5000,"[-0.11, -0.11, -0.11, 2.21, 9.99, 22.24, 34.65, 49.7, 67.4, 85.04, 102.58, 117.72, 134.05, 149.56, 153.69, 149.6, 146.06, 142.79, 139.95, 137.3, 134.36, 130.71, 126.69, 122.63, 119.1, 116.08, 113.88, 112.54, 112.04, 111.86, 111.46, 110.33, 108.1, 105.13, 102.07, 99.57, 98.16, 97.99, 97.99, 97.99, 97.99, 97.98, 97.98, 97.98, 97.98, 97.97, 97.97, 97.96, 97.95, 97.91]",90
14,12.424426250615044,0.9605249693992082,0.8374624294297147,64.59999999999998,800,4900,"[-0.08, -0.08, -0.08, 2.01, 10.45, 22.71, 34.23, 47.04, 62.03, 76.45, 95.65, 115.96, 132.01, 144.09, 148.14, 144.73, 141.94, 140.04, 138.25, 135.56, 131.72, 127.15, 122.61, 118.62, 115.87, 114.59, 114.5, 114.5, 114.49, 114.47, 113.32, 109.67, 104.69, 100.38, 97.54, 92.66, 84.31, 76.1, 70.38, 71.71, 81.13, 91.53, 96.24, 93.87, 87.78, 81.56, 77.22, 76.6, 81.65, 88.25]",90
16,15.382061615359113,0.791768038097307,0.21920756840561118,41.611111111111114,400,5000,"[-0.02, 6.65, 20.82, 38.08, 59.04, 80.63, 101.19, 120.01, 127.45, 122.34, 116.59, 109.05, 99.61, 91.21, 89.46, 97.04, 106.11, 108.9, 104.52, 97.46, 91.01, 88.26, 91.27, 96.54, 99.93, 100.0, 98.35, 96.43, 95.03, 94.73, 94.73, 94.73, 94.72, 94.72, 94.72, 94.72, 94.71, 94.71, 94.71, 94.7, 94.7, 94.7, 94.69, 94.68, 94.61, 94.61, 94.61, 94.6, 94.6, 94.6]",90
18,13.227681114290936,0.04456987155291159,0.9521097256298006,25.16666666666667,600,2100,"[-0.11, -0.11, 4.88, 16.57, 31.48, 48.13, 60.89, 73.2, 89.12, 106.1, 112.65, 109.58, 104.03, 95.48, 87.51, 82.52, 83.72, 91.07, 97.83, 99.76, 97.54, 94.45, 91.83, 90.37, 90.26, 90.26, 90.26, 90.26, 90.27, 90.27, 90.27, 90.27, 90.27, 90.27, 90.27, 90.27, 90.27, 90.28, 90.28, 90.28, 90.28, 90.28, 90.28, 90.28, 90.28, 90.28, 90.28, 90.28, 90.28, 90.28]",90
