experiment_id,kp,ki,kd,overshoot,rise_time,settling_time,angle_values,set_point
1,12.0,0.0,0.7799999713897705,19.877777777777776,600,2200,"[-0.11, 3.24, 9.89, 19.81, 34.05, 48.25, 66.09, 85.5, 101.63, 107.89, 102.6, 93.38, 83.33, 78.78, 83.97, 93.56, 100.63, 101.28, 95.85, 88.37, 83.6, 82.94, 86.85, 91.65, 93.86, 93.91, 93.92, 93.92, 93.93, 93.93, 93.94, 93.94, 93.95, 93.95, 93.95, 93.96, 93.96, 93.97, 93.97, 93.97, 93.97, 93.98, 93.98, 93.98, 93.99, 93.99, 93.99, 94.0, 94.0, 94.01]",90
2,19.5,0.4300000071525574,0.0010000000474974513,29.85555555555556,500,5000,"[0.58, 9.42, 23.11, 33.12, 47.68, 66.1, 84.97, 105.74, 116.87, 114.65, 110.18, 106.44, 100.17, 91.13, 87.19, 93.7, 103.79, 106.98, 99.75, 88.53, 84.35, 93.74, 107.46, 108.02, 97.96, 89.53, 85.8, 91.33, 102.03, 105.37, 96.13, 83.45, 82.71, 96.66, 111.01, 115.54, 111.9, 104.65, 95.14, 82.88, 81.25, 93.72, 107.76, 116.39, 113.79, 100.15, 85.73, 76.78, 76.03, 75.93]",90
3,18.25,0.4400000125169754,0.7525000274181366,28.955555555555556,500,5000,"[0.01, 6.16, 19.22, 31.09, 45.25, 62.62, 81.1, 98.24, 111.46, 113.24, 105.38, 98.41, 91.67, 91.56, 99.62, 107.12, 104.65, 94.14, 86.08, 89.82, 101.99, 109.51, 103.29, 90.94, 85.23, 92.87, 104.8, 108.05, 97.5, 84.51, 83.56, 97.15, 110.55, 116.06, 115.35, 107.87, 100.98, 95.41, 89.47, 85.6, 87.02, 93.94, 99.39, 99.6, 94.11, 88.18, 85.28, 87.97, 94.37, 98.53]",90
