experiment_id,kp,ki,kd,overshoot,rise_time,settling_time,angle_values,set_point
1,19.0,0.10000000149011612,0.9300000071525574,26.43333333333334,600,5000,"[-0.11, -0.11, 6.62, 19.16, 30.51, 42.65, 57.81, 74.9, 91.21, 105.0, 109.05, 102.92, 95.23, 86.98, 84.54, 92.47, 102.5, 104.68, 98.15, 89.39, 82.74, 87.04, 99.03, 105.48, 101.06, 92.43, 84.22, 83.84, 94.47, 105.48, 111.84, 113.79, 110.15, 103.99, 96.25, 87.55, 82.8, 88.98, 100.02, 104.19, 98.35, 89.6, 82.76, 85.7, 96.83, 104.4, 100.55, 91.5, 83.24, 83.29]",90
2,10.596055594879623,0.10000000149011612,0.6742053927478405,21.32222222222222,400,5000,"[-0.32, 11.02, 30.35, 48.2, 66.95, 84.95, 99.55, 109.19, 108.66, 102.39, 94.66, 88.32, 84.13, 83.71, 88.05, 92.94, 95.03, 95.06, 95.06, 95.06, 95.05, 95.05, 95.05, 95.05, 95.04, 95.05, 95.04, 95.04, 95.04, 95.04, 95.03, 95.03, 95.03, 95.02, 95.02, 95.02, 95.02, 95.01, 95.01, 95.01, 95.01, 95.01, 95.01, 95.01, 95.01, 95.0, 95.0, 95.0, 95.0, 95.0]",90
3,21.15763335692777,0.4300000071525574,0.9302567170929428,28.500000000000007,400,5000,"[-0.03, 8.57, 27.45, 48.14, 68.56, 88.33, 105.91, 115.65, 112.09, 105.51, 97.18, 88.4, 86.69, 96.04, 106.47, 112.37, 113.02, 108.03, 101.0, 93.78, 86.12, 85.02, 93.54, 103.27, 104.29, 97.93, 91.8, 86.36, 86.28, 92.82, 99.93, 100.82, 94.99, 87.99, 84.49, 90.3, 99.45, 101.91, 96.19, 88.19, 82.29, 87.04, 98.47, 103.45, 102.05, 97.07, 88.13, 81.08, 84.54, 97.77]",90
4,17.60689556656629,0.10000000149011612,0.6742053927478405,27.155555555555555,700,3400,"[-0.06, 2.88, 9.12, 16.9, 27.52, 37.04, 50.36, 68.44, 88.18, 106.61, 114.44, 110.09, 104.1, 97.2, 89.09, 83.91, 87.21, 97.03, 103.18, 101.27, 94.61, 87.35, 84.41, 89.93, 98.48, 102.19, 99.15, 92.83, 86.93, 85.54, 91.29, 98.07, 99.86, 96.55, 92.2, 88.68, 87.68, 89.61, 92.45, 92.97, 92.97, 92.97, 92.97, 92.97, 92.97, 92.97, 92.97, 92.97, 92.97, 92.97]",90
5,17.98837114728925,0.3511692810448468,0.12916470593271612,26.544444444444444,500,5000,"[0.24, 2.61, 9.26, 24.11, 43.44, 61.39, 80.37, 97.77, 111.13, 113.89, 107.1, 99.28, 91.16, 88.38, 94.93, 103.99, 107.49, 103.35, 95.59, 88.32, 87.46, 95.22, 104.28, 106.33, 100.61, 93.15, 87.0, 86.93, 95.32, 104.55, 106.33, 100.12, 91.64, 85.6, 88.13, 96.77, 103.44, 103.83, 97.7, 90.3, 85.84, 88.9, 96.83, 102.22, 101.54, 95.34, 88.93, 85.75, 89.54, 96.59]",90
6,23.99759248439769,0.20013542232056147,0.9302567170929428,23.433333333333337,400,4900,"[0.31, 6.41, 22.38, 41.14, 59.41, 80.56, 102.02, 111.09, 105.9, 98.16, 90.93, 86.52, 89.98, 97.72, 101.1, 97.41, 90.47, 85.6, 89.85, 98.83, 101.74, 96.5, 88.52, 84.05, 90.61, 102.04, 104.57, 97.89, 90.7, 85.14, 88.08, 96.73, 101.33, 97.48, 89.42, 83.33, 87.9, 100.49, 104.89, 100.84, 94.86, 86.91, 84.93, 93.46, 103.38, 108.15, 107.66, 102.49, 96.77, 91.1]",90
7,21.309236843551464,0.21156517046675782,0.1904977760850725,28.966666666666658,500,5000,"[0.06, 4.54, 13.54, 23.9, 39.27, 57.01, 77.07, 98.73, 113.54, 116.07, 111.06, 102.85, 93.87, 84.69, 85.43, 98.41, 108.45, 110.56, 109.02, 104.84, 97.22, 87.85, 83.64, 91.64, 104.2, 107.1, 100.15, 92.29, 84.43, 85.33, 96.17, 105.05, 108.04, 108.96, 106.05, 102.32, 96.4, 88.19, 82.4, 86.9, 98.93, 105.77, 105.14, 103.92, 102.5, 98.93, 90.45, 82.51, 83.6, 95.65]",90
8,19.517545005548563,0.20013542232056147,0.9302567170929428,23.877777777777773,500,4900,"[-0.02, 0.8, 11.69, 28.49, 45.86, 65.79, 84.09, 101.29, 111.49, 111.19, 108.65, 105.37, 99.31, 90.78, 85.04, 89.41, 98.19, 102.7, 99.65, 92.86, 86.65, 86.78, 94.76, 102.8, 103.67, 97.18, 88.9, 84.24, 89.99, 99.71, 103.85, 99.8, 92.25, 85.43, 85.13, 93.87, 102.97, 104.34, 97.36, 88.48, 82.63, 88.28, 99.84, 105.1, 103.96, 99.71, 91.56, 84.11, 84.27, 93.73]",90
9,22.532575930158917,0.09073808348732959,0.8535903794024973,21.677777777777784,600,5000,"[-0.11, 0.48, 10.81, 26.28, 40.55, 56.7, 76.08, 98.28, 109.51, 108.24, 103.22, 97.53, 91.62, 85.88, 86.64, 94.77, 101.47, 100.2, 92.5, 83.82, 85.2, 97.17, 104.48, 104.88, 104.5, 103.64, 103.42, 103.41, 103.4, 103.39, 103.38, 103.37, 103.36, 103.35, 103.34, 103.33, 103.32, 103.31, 103.3, 103.29, 103.28, 103.27, 103.26, 103.25, 103.24, 103.23, 103.22, 103.21, 103.2, 103.19]",90
10,21.928915438163347,0.21156517046675782,0.1904977760850725,24.66666666666667,400,5000,"[-0.03, 7.96, 22.36, 39.07, 59.31, 79.8, 99.63, 110.96, 111.03, 106.9, 101.14, 94.17, 86.29, 85.1, 93.89, 104.44, 111.37, 112.2, 106.24, 98.67, 91.54, 84.52, 85.22, 95.58, 104.48, 107.38, 107.81, 105.1, 101.79, 96.56, 88.6, 82.9, 87.07, 98.65, 103.74, 102.54, 97.64, 88.61, 81.26, 84.68, 98.42, 106.1, 104.75, 102.32, 100.2, 96.21, 88.92, 82.63, 84.65, 95.73]",90
