experiment_id,kp,ki,kd,overshoot,rise_time,settling_time,angle_values,set_point
2,25.0,0.001,1.0,24.200000000000003,500,5000,"[-1.02, -0.64, 7.11, 24.62, 44.29, 61.08, 77.63, 94.09, 103.1, 103.87, 102.42, 100.38, 96.04, 87.46, 81.7, 87.62, 100.22, 109.69, 111.78, 106.6, 100.96, 92.5, 83.56, 83.33, 94.09, 102.36, 103.86, 103.32, 101.09, 99.04, 94.9, 88.05, 82.49, 85.56, 97.04, 101.1, 98.01, 92.96, 86.14, 83.55, 89.69, 98.51, 99.13, 91.3, 83.5, 83.77, 94.26, 102.43, 103.44, 102.62]",90
16,19.088866695064866,0.8362817940527182,0.041542612900080766,27.233333333333338,400,4900,"[1.28, 8.92, 24.61, 41.95, 59.47, 75.88, 89.38, 99.81, 108.74, 114.51, 110.95, 102.65, 94.76, 93.66, 102.14, 111.02, 110.44, 101.91, 93.18, 88.93, 95.27, 105.31, 109.06, 103.09, 93.34, 85.77, 88.59, 100.04, 108.59, 110.87, 111.63, 109.65, 106.34, 103.45, 99.06, 90.98, 82.97, 82.51, 91.77, 101.77, 103.8, 99.26, 93.9, 87.14, 81.68, 83.15, 91.53, 99.33, 100.5, 94.31]",90
18,12.243309943512514,0.17387456456875983,0.7633531119562853,27.677777777777774,600,2100,"[0.9, 5.41, 13.38, 24.31, 38.71, 53.94, 72.63, 92.0, 107.52, 114.91, 110.99, 102.9, 94.44, 87.48, 84.8, 90.42, 98.53, 103.87, 104.26, 100.42, 95.55, 91.74, 90.24, 90.75, 92.55, 93.53, 93.56, 93.56, 93.56, 93.57, 93.57, 93.57, 93.57, 93.57, 93.57, 93.58, 93.58, 93.59, 93.59, 93.59, 93.59, 93.59, 93.6, 93.6, 93.59, 93.6, 93.6, 93.6, 93.6, 93.61]",90
