experiment_id,kp,ki,kd,overshoot,rise_time,settling_time,angle_values,set_point
2,1.0,0.001,1.0,-100000,100000,5000,"[-0.13, 5.58, 17.17, 28.0, 37.07, 44.38, 49.62, 53.1, 54.67, 54.97, 54.96, 54.96, 54.96, 54.96, 54.96, 54.95, 54.95, 54.95, 54.95, 54.95, 54.94, 54.94, 54.94, 54.94, 54.94, 54.94, 54.94, 54.94, 54.94, 54.94, 54.94, 54.93, 54.93, 54.93, 54.93, 54.93, 54.93, 54.93, 54.92, 54.92, 54.92, 54.92, 54.92, 54.92, 54.92, 54.91, 54.91, 54.91, 54.91, 54.91]",90
4,20.13012627973187,0.18029845616355855,0.5403534568579909,42.42222222222223,2200,5000,"[-0.16, 1.13, 2.65, 2.66, 2.66, 2.65, 2.83, 3.42, 4.46, 5.75, 6.97, 7.97, 8.68, 9.01, 9.01, 9.01, 9.01, 9.31, 12.07, 15.9, 28.7, 50.4, 71.48, 90.15, 107.69, 120.68, 128.18, 127.41, 119.95, 112.35, 105.68, 99.14, 98.25, 105.38, 113.44, 114.58, 108.23, 100.08, 95.67, 101.91, 112.7, 116.12, 113.17, 108.65, 101.44, 95.8, 98.19, 107.75, 113.29, 110.18]",90
6,5.643030775647155,0.9361428583372592,0.1756143557180354,79.95555555555556,500,5000,"[0.02, 1.75, 10.22, 24.5, 41.7, 58.72, 73.58, 89.57, 108.42, 125.33, 140.74, 155.13, 161.96, 157.94, 150.85, 145.15, 140.9, 137.24, 133.12, 128.04, 121.98, 115.23, 108.38, 102.0, 96.45, 92.02, 89.1, 87.93, 84.25, 75.17, 65.71, 57.08, 49.86, 46.87, 52.15, 63.21, 76.18, 87.85, 96.05, 99.36, 97.58, 93.94, 89.89, 86.09, 83.1, 81.4, 81.22, 81.22, 81.23, 81.23]",90
8,24.992433698645144,0.22053832204352697,0.2620556755050044,33.50000000000001,500,4900,"[0.07, 7.88, 21.77, 37.43, 55.22, 72.02, 90.89, 109.92, 120.15, 118.28, 112.6, 104.61, 95.88, 88.47, 84.76, 91.54, 102.56, 104.28, 97.03, 89.56, 83.67, 88.63, 100.99, 105.42, 101.19, 94.32, 85.88, 85.22, 94.94, 104.04, 106.91, 105.73, 101.78, 94.25, 84.92, 84.49, 95.11, 104.12, 105.81, 104.54, 101.63, 99.3, 96.46, 90.17, 84.15, 85.14, 94.14, 100.68, 97.88, 89.92]",90
10,24.959087376648718,0.22010997625276485,0.2357662128573521,31.722222222222218,500,4900,"[0.01, 6.84, 20.8, 36.71, 55.5, 73.58, 92.39, 110.52, 118.55, 115.75, 111.58, 105.57, 98.31, 91.54, 85.52, 87.42, 97.1, 102.4, 97.34, 88.3, 82.61, 91.01, 104.91, 114.08, 117.34, 116.2, 111.6, 104.34, 95.39, 87.89, 83.32, 89.42, 99.56, 102.62, 98.73, 93.6, 87.2, 83.75, 88.96, 98.35, 100.05, 93.11, 84.66, 83.95, 93.82, 103.13, 106.22, 104.8, 100.34, 94.23]",90
12,12.384811523196802,0.04056849906336124,0.8791896707289749,22.47777777777778,600,5000,"[-0.18, 4.83, 15.05, 25.28, 36.75, 48.65, 61.07, 71.25, 85.13, 101.82, 110.23, 106.83, 99.05, 90.87, 84.37, 83.0, 87.7, 93.5, 95.81, 95.77, 95.3, 95.27, 95.27, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26, 95.26]",90
14,24.233505118137675,0.9971109529414612,0.9641154584880725,43.68888888888888,800,5000,"[-0.15, 0.02, 0.21, 2.98, 11.98, 22.72, 30.68, 41.85, 58.8, 77.08, 93.92, 109.71, 124.11, 129.32, 122.79, 113.48, 104.06, 103.81, 114.44, 121.36, 120.08, 117.12, 114.13, 109.26, 100.94, 95.94, 102.57, 114.03, 120.15, 117.69, 109.01, 100.72, 94.39, 92.03, 97.69, 104.87, 105.21, 98.12, 90.14, 89.95, 98.68, 106.07, 108.35, 107.9, 105.4, 103.13, 102.38, 102.4, 102.39, 102.39]",90
16,24.979867077011644,0.9553879116251456,0.0015294832725848417,43.01111111111112,700,5000,"[0.01, 0.01, 1.6, 9.0, 18.94, 29.0, 42.51, 58.61, 73.61, 88.26, 103.93, 120.32, 128.71, 124.66, 116.37, 107.12, 98.21, 100.28, 112.69, 118.82, 115.39, 110.96, 105.32, 98.14, 94.12, 99.53, 109.46, 111.59, 105.92, 99.47, 92.58, 93.21, 101.66, 107.48, 108.27, 108.16, 107.98, 107.9, 107.89, 107.3, 105.18, 102.24, 100.45, 96.6, 89.14, 83.16, 86.37, 97.99, 103.77, 102.51]",90
18,24.7327795870268,0.09946429475778817,0.671619320029228,20.34444444444445,400,5000,"[0.13, 7.57, 25.22, 44.29, 60.87, 78.52, 96.03, 104.9, 105.22, 103.22, 100.35, 95.56, 88.43, 84.18, 88.27, 96.66, 99.81, 95.68, 89.26, 84.53, 86.85, 96.41, 101.06, 96.02, 86.98, 83.67, 91.44, 101.92, 108.31, 108.29, 102.29, 96.2, 90.7, 85.83, 86.69, 93.54, 98.14, 96.39, 90.53, 85.25, 85.61, 93.31, 99.72, 97.31, 89.94, 83.75, 85.57, 96.23, 102.42, 101.7]",90
20,24.98325579582,0.031755951754920075,0.1353303055066971,17.600000000000005,500,5000,"[-0.02, 7.44, 20.64, 34.67, 51.11, 68.12, 84.53, 99.17, 105.84, 101.29, 96.45, 91.21, 85.9, 85.9, 92.74, 98.57, 97.08, 90.61, 84.46, 85.65, 93.93, 100.08, 98.23, 90.18, 82.71, 84.68, 96.82, 104.36, 103.71, 102.1, 100.46, 97.52, 91.01, 83.6, 84.61, 95.21, 101.9, 102.31, 102.12, 102.1, 102.08, 102.08, 102.07, 102.06, 102.05, 102.04, 102.03, 102.02, 102.01, 102.0]",90
